client_id,month,equity_pct,bonds_pct,crypto_pct,volatility,return,risk_level
C0016,2024-01,53.92,42.13,3.95,8.06,0.085,Medium
C0016,2024-02,49.24,39.74,11.02,10.88,0.0996,Medium
C0016,2024-03,37.56,55.95,6.49,7.63,0.0605,Medium
C0016,2024-04,42.02,49.97,8.01,14.53,0.097,Medium
C0016,2024-05,34.6,55.78,9.62,10.55,0.0524,Medium
C0016,2024-06,56.16,29.72,14.12,11.09,0.0766,Medium
C0016,2024-07,50.9,35.11,13.99,12.37,0.0815,Medium
C0016,2024-08,48.21,44.28,7.51,12.63,0.0199,Medium
C0016,2024-09,58.03,27.94,14.03,10.06,0.1525,Medium
C0016,2024-10,41.97,55.32,2.71,9.02,0.0684,Medium
C0016,2024-11,54.09,43.85,2.06,9.0,0.0825,Medium
C0016,2024-12,57.6,35.9,6.5,9.12,0.0031,Medium
C0017,2024-01,43.57,51.51,4.92,10.07,0.0503,Medium
C0017,2024-02,44.95,47.6,7.45,14.23,0.0498,Medium
C0017,2024-03,40.87,49.58,9.55,11.69,0.0525,Medium
C0017,2024-04,32.56,52.48,14.96,10.52,0.0293,Medium
C0017,2024-05,47.86,49.27,2.87,12.75,0.065,Medium
C0017,2024-06,36.15,59.37,4.48,6.33,0.0507,Medium
C0017,2024-07,44.16,46.5,9.34,6.59,0.0582,Medium
C0017,2024-08,45.73,46.54,7.73,9.61,0.1055,Medium
C0017,2024-09,46.79,49.19,4.02,7.64,0.026,Medium
C0017,2024-10,49.32,43.37,7.31,6.23,0.0489,Medium
C0017,2024-11,34.68,54.01,11.31,11.93,0.0867,Medium
C0017,2024-12,30.59,66.06,3.35,13.2,0.0046,Medium
C0018,2024-01,26.32,72.49,1.19,2.6,0.0509,Low
C0018,2024-02,31.39,64.46,4.15,4.38,0.0383,Low
C0018,2024-03,26.71,72.27,1.02,3.76,0.0257,Low
C0018,2024-04,32.31,63.6,4.09,4.05,0.0725,Low
C0018,2024-05,16.48,81.62,1.9,5.54,0.0531,Low
C0018,2024-06,20.24,77.0,2.76,4.62,0.0238,Low
C0018,2024-07,17.36,77.9,4.74,6.58,0.0636,Low
C0018,2024-08,29.99,67.88,2.13,2.13,0.0474,Low
C0018,2024-09,16.72,80.57,2.71,5.8,0.0308,Low
C0018,2024-10,30.88,64.2,4.92,5.15,0.0449,Low
C0018,2024-11,14.29,84.35,1.36,2.11,0.0285,Low
C0018,2024-12,23.85,72.89,3.26,6.98,0.0574,Low
C0019,2024-01,10.28,89.04,0.68,7.4,0.0416,Low
C0019,2024-02,25.01,71.66,3.33,3.05,0.0555,Low
C0019,2024-03,32.86,65.05,2.09,4.3,0.0409,Low
C0019,2024-04,14.16,82.15,3.69,2.5,0.0417,Low
C0019,2024-05,25.08,73.69,1.23,4.34,0.032,Low
C0019,2024-06,27.97,70.54,1.49,5.4,0.0239,Low
C0019,2024-07,21.9,74.78,3.32,7.62,0.0253,Low
C0019,2024-08,10.78,87.91,1.31,5.57,0.0487,Low
C0019,2024-09,11.29,86.23,2.48,5.58,0.0579,Low
C0019,2024-10,12.66,86.96,0.38,6.37,0.0233,Low
C0019,2024-11,22.39,74.17,3.44,4.61,0.0551,Low
C0019,2024-12,29.99,66.54,3.47,3.63,0.043,Low
C0020,2024-01,40.83,55.98,3.19,14.26,-0.0022,Medium
C0020,2024-02,46.26,40.39,13.35,12.59,0.0606,Medium
C0020,2024-03,54.2,35.24,10.56,12.23,0.0531,Medium
C0020,2024-04,44.68,50.44,4.88,14.89,0.0865,Medium
C0020,2024-05,58.32,39.17,2.51,12.35,0.0925,Medium
C0020,2024-06,31.01,57.92,11.07,8.68,0.0623,Medium
C0020,2024-07,57.74,27.64,14.62,14.5,0.1255,Medium
C0020,2024-08,55.33,38.52,6.15,13.46,0.0618,Medium
C0020,2024-09,31.11,59.14,9.75,8.07,0.032,Medium
C0020,2024-10,51.74,45.41,2.85,8.84,0.0932,Medium
C0020,2024-11,46.18,41.54,12.28,8.87,0.0909,Medium
C0020,2024-12,48.47,46.5,5.03,6.22,0.0656,Medium
C0021,2024-01,40.75,31.76,27.49,21.52,0.05,High
C0021,2024-02,56.8,20.65,22.55,27.73,0.2027,High
C0021,2024-03,74.44,0.19,25.37,19.52,0.1902,High
C0021,2024-04,48.36,39.43,12.21,18.38,0.04,High
C0021,2024-05,50.05,34.02,15.93,16.2,0.0725,High
C0021,2024-06,53.45,22.96,23.59,15.93,0.0962,High
C0021,2024-07,73.25,1.02,25.73,13.61,0.1377,High
C0021,2024-08,73.06,7.59,19.35,23.04,0.075,High
C0021,2024-09,45.85,24.33,29.82,16.17,0.0968,High
C0021,2024-10,61.27,18.48,20.25,16.15,0.1088,High
C0021,2024-11,46.18,39.41,14.41,15.36,0.041,High
C0021,2024-12,42.03,28.59,29.38,27.91,0.1858,High
C0022,2024-01,74.82,11.7,13.48,19.13,0.1293,High
C0022,2024-02,45.38,28.3,26.32,16.04,0.1347,High
C0022,2024-03,47.83,31.43,20.74,22.67,0.0217,High
C0022,2024-04,70.71,13.98,15.31,14.33,0.0908,High
C0022,2024-05,70.95,0.0,29.05,27.52,0.1452,High
C0022,2024-06,59.28,28.98,11.74,19.35,0.1366,High
C0022,2024-07,53.04,31.76,15.2,25.02,0.0116,High
C0022,2024-08,47.7,28.63,23.67,13.37,0.0819,High
C0022,2024-09,69.8,10.3,19.9,20.65,0.1635,High
C0022,2024-10,52.17,24.27,23.56,22.18,0.1072,High
C0022,2024-11,49.35,23.08,27.57,26.35,0.1615,High
C0022,2024-12,70.35,5.48,24.17,27.07,0.1284,High
C0023,2024-01,50.41,39.55,10.04,12.77,0.0609,Medium
C0023,2024-02,40.05,48.28,11.67,7.45,0.0673,Medium
C0023,2024-03,54.54,32.64,12.82,10.57,0.0787,Medium
C0023,2024-04,48.95,45.67,5.38,11.71,0.0626,Medium
C0023,2024-05,46.2,41.66,12.14,6.96,0.0729,Medium
C0023,2024-06,58.89,34.67,6.44,11.69,0.1225,Medium
C0023,2024-07,57.96,38.71,3.33,14.44,0.0436,Medium
C0023,2024-08,39.03,49.76,11.21,6.61,0.0668,Medium
C0023,2024-09,47.46,46.04,6.5,11.59,0.0421,Medium
C0023,2024-10,52.75,44.93,2.32,6.2,0.0662,Medium
C0023,2024-11,39.71,51.94,8.35,12.93,0.0383,Medium
C0023,2024-12,38.21,46.83,14.96,9.84,0.1226,Medium
C0024,2024-01,34.91,52.76,12.33,12.24,0.1034,Medium
C0024,2024-02,38.2,47.44,14.36,7.36,0.0953,Medium
C0024,2024-03,42.97,42.76,14.27,9.78,0.0326,Medium
C0024,2024-04,38.23,46.98,14.79,9.68,0.1151,Medium
C0024,2024-05,56.82,38.19,4.99,7.92,0.0662,Medium
C0024,2024-06,41.05,45.71,13.24,10.26,0.0594,Medium
C0024,2024-07,59.05,36.54,4.41,13.82,0.0942,Medium
C0024,2024-08,55.35,32.76,11.89,11.64,0.0972,Medium
C0024,2024-09,33.94,63.64,2.42,14.29,0.1034,Medium
C0024,2024-10,44.44,52.03,3.53,7.13,0.067,Medium
C0024,2024-11,50.57,41.84,7.59,7.8,0.0471,Medium
C0024,2024-12,47.46,47.04,5.5,13.18,0.0598,Medium
C0025,2024-01,43.66,54.19,2.15,6.65,0.0454,Medium
C0025,2024-02,48.0,46.21,5.79,12.25,-0.0281,Medium
C0025,2024-03,55.8,32.06,12.14,6.36,0.054,Medium
C0025,2024-04,37.26,47.91,14.83,7.28,0.0654,Medium
C0025,2024-05,44.96,45.0,10.04,12.32,0.0564,Medium
C0025,2024-06,39.79,51.48,8.73,6.79,0.0609,Medium
C0025,2024-07,40.52,57.05,2.43,6.71,0.033,Medium
C0025,2024-08,47.03,42.01,10.96,13.21,0.0555,Medium
C0025,2024-09,36.0,59.82,4.18,6.94,0.0822,Medium
C0025,2024-10,30.95,54.88,14.17,6.47,0.0804,Medium
C0025,2024-11,46.24,42.54,11.22,13.84,0.1038,Medium
C0025,2024-12,40.19,47.22,12.59,6.72,0.078,Medium
C0026,2024-01,59.16,14.49,26.35,20.14,0.1154,High
C0026,2024-02,65.61,22.76,11.63,13.09,0.1625,High
C0026,2024-03,48.65,38.16,13.19,27.69,-0.0155,High
C0026,2024-04,67.64,9.19,23.17,20.97,0.0583,High
C0026,2024-05,59.44,16.18,24.38,16.11,0.0345,High
C0026,2024-06,63.81,24.75,11.44,12.55,0.0969,High
C0026,2024-07,49.02,31.73,19.25,27.63,0.1549,High
C0026,2024-08,54.89,28.19,16.92,18.68,0.1267,High
C0026,2024-09,74.57,14.63,10.8,27.61,-0.0491,High
C0026,2024-10,65.39,14.88,19.73,27.72,0.2528,High
C0026,2024-11,71.53,10.04,18.43,16.98,0.1287,High
C0026,2024-12,47.37,30.17,22.46,23.37,0.0932,High
C0027,2024-01,33.94,54.75,11.31,14.18,0.0371,Medium
C0027,2024-02,59.14,36.51,4.35,13.69,0.0372,Medium
C0027,2024-03,44.77,50.02,5.21,13.84,0.0907,Medium
C0027,2024-04,40.78,49.51,9.71,7.47,-0.0018,Medium
C0027,2024-05,41.73,43.67,14.6,8.32,0.0361,Medium
C0027,2024-06,53.21,43.09,3.7,14.73,0.1123,Medium
C0027,2024-07,43.61,51.32,5.07,6.66,0.0594,Medium
C0027,2024-08,40.11,47.11,12.78,9.88,0.0274,Medium
C0027,2024-09,37.46,52.52,10.02,12.36,0.0478,Medium
C0027,2024-10,31.1,57.33,11.57,11.97,0.0469,Medium
C0027,2024-11,44.24,42.79,12.97,13.25,0.1086,Medium
C0027,2024-12,36.18,60.37,3.45,8.43,0.0583,Medium
C0028,2024-01,23.28,72.04,4.68,2.24,0.0464,Low
C0028,2024-02,33.35,65.07,1.58,5.04,0.0329,Low
C0028,2024-03,11.04,88.22,0.74,7.92,0.0397,Low
C0028,2024-04,31.7,66.03,2.27,5.09,0.0555,Low
C0028,2024-05,22.23,74.44,3.33,2.84,0.0371,Low
C0028,2024-06,26.84,68.31,4.85,2.56,0.0542,Low
C0028,2024-07,26.81,70.97,2.22,7.21,0.0579,Low
C0028,2024-08,30.96,64.32,4.72,6.1,0.0344,Low
C0028,2024-09,22.43,74.48,3.09,7.21,0.0352,Low
C0028,2024-10,33.27,63.28,3.45,6.06,0.052,Low
C0028,2024-11,15.4,81.31,3.29,4.36,0.0316,Low
C0028,2024-12,26.44,68.56,5.0,2.29,0.0513,Low
C0029,2024-01,54.24,18.34,27.42,26.08,0.2163,High
C0029,2024-02,70.75,11.17,18.08,17.89,0.1114,High
C0029,2024-03,63.36,10.48,26.16,25.72,0.0701,High
C0029,2024-04,68.63,18.97,12.4,21.8,0.1692,High
C0029,2024-05,40.2,43.31,16.49,18.6,0.1589,High
C0029,2024-06,53.6,27.43,18.97,16.28,0.0382,High
C0029,2024-07,53.06,32.39,14.55,13.32,0.1396,High
C0029,2024-08,61.68,19.05,19.27,18.84,0.141,High
C0029,2024-09,70.22,9.4,20.38,20.63,0.0036,High
C0029,2024-10,60.31,19.02,20.67,22.94,-0.0283,High
C0029,2024-11,66.77,6.97,26.26,24.93,0.1517,High
C0029,2024-12,48.52,22.94,28.54,13.08,0.0995,High
C0030,2024-01,52.31,35.66,12.03,20.75,0.0164,High
C0030,2024-02,50.76,23.18,26.06,21.7,0.0226,High
C0030,2024-03,50.89,26.9,22.21,24.89,0.037,High
C0030,2024-04,44.27,42.11,13.62,24.26,-0.047,High
C0030,2024-05,46.35,33.15,20.5,24.76,0.0897,High
C0030,2024-06,48.98,21.76,29.26,20.7,0.0314,High
C0030,2024-07,68.21,10.79,21.0,12.78,0.1074,High
C0030,2024-08,61.06,12.56,26.38,27.92,0.1038,High
C0030,2024-09,47.98,37.78,14.24,23.0,0.1504,High
C0030,2024-10,71.5,11.43,17.07,16.26,0.0716,High
C0030,2024-11,67.31,17.19,15.5,26.81,0.2286,High
C0030,2024-12,43.34,34.18,22.48,20.13,0.0286,High
C0031,2024-01,35.04,53.38,11.58,13.77,0.0538,Medium
C0031,2024-02,30.7,58.95,10.35,11.46,0.0533,Medium
C0031,2024-03,46.4,48.58,5.02,9.52,0.0567,Medium
C0031,2024-04,59.64,36.59,3.77,12.26,0.1592,Medium
C0031,2024-05,42.13,50.3,7.57,12.46,0.0814,Medium
C0031,2024-06,38.23,58.74,3.03,6.77,0.0858,Medium
C0031,2024-07,56.83,38.68,4.49,8.91,0.0464,Medium
C0031,2024-08,32.08,59.17,8.75,6.61,0.0323,Medium
C0031,2024-09,54.01,40.95,5.04,10.86,0.0738,Medium
C0031,2024-10,45.99,47.79,6.22,9.0,0.083,Medium
C0031,2024-11,50.09,34.99,14.92,11.96,0.133,Medium
C0031,2024-12,43.96,53.26,2.78,11.06,0.0692,Medium
C0032,2024-01,46.14,30.06,23.8,15.62,0.0388,High
C0032,2024-02,55.77,19.11,25.12,18.26,0.0925,High
C0032,2024-03,63.27,10.82,25.91,28.69,0.0468,High
C0032,2024-04,45.33,24.82,29.85,28.69,-0.0326,High
C0032,2024-05,58.9,14.26,26.84,21.38,0.0436,High
C0032,2024-06,66.44,21.01,12.55,26.87,0.0964,High
C0032,2024-07,67.38,8.45,24.17,12.65,0.0521,High
C0032,2024-08,52.61,35.64,11.75,28.87,-0.0067,High
C0032,2024-09,59.38,24.51,16.11,19.15,0.2029,High
C0032,2024-10,58.05,13.56,28.39,20.95,0.022,High
C0032,2024-11,73.44,0.0,26.56,15.75,0.0779,High
C0032,2024-12,70.73,1.91,27.36,26.51,0.191,High
C0033,2024-01,50.66,37.72,11.62,19.25,0.1003,High
C0033,2024-02,52.12,18.37,29.51,23.54,0.028,High
C0033,2024-03,68.79,18.56,12.65,27.52,0.0775,High
C0033,2024-04,61.22,13.48,25.3,15.15,0.1281,High
C0033,2024-05,57.59,24.44,17.97,14.63,0.0536,High
C0033,2024-06,40.91,46.39,12.7,29.34,0.0492,High
C0033,2024-07,59.23,11.45,29.32,19.78,0.0986,High
C0033,2024-08,55.39,32.5,12.11,23.53,-0.0672,High
C0033,2024-09,47.56,30.05,22.39,23.7,0.0655,High
C0033,2024-10,42.03,28.07,29.9,13.04,0.1452,High
C0033,2024-11,64.33,6.0,29.67,16.31,0.0678,High
C0033,2024-12,64.22,24.53,11.25,21.17,0.0564,High
C0034,2024-01,68.49,9.21,22.3,17.51,0.1172,High
C0034,2024-02,54.92,32.47,12.61,27.96,0.2646,High
C0034,2024-03,55.74,30.37,13.89,18.62,0.142,High
C0034,2024-04,65.67,8.94,25.39,12.2,0.0817,High
C0034,2024-05,54.56,25.81,19.63,12.35,0.1128,High
C0034,2024-06,44.8,34.49,20.71,15.87,0.0393,High
C0034,2024-07,40.43,44.75,14.82,29.57,-0.0202,High
C0034,2024-08,59.18,21.73,19.09,27.2,0.08,High
C0034,2024-09,43.44,36.8,19.76,14.7,0.127,High
C0034,2024-10,56.66,25.82,17.52,19.1,0.0299,High
C0034,2024-11,56.08,18.22,25.7,28.06,0.185,High
C0034,2024-12,55.32,29.59,15.09,27.14,-0.0155,High
C0035,2024-01,32.54,65.15,2.31,5.82,0.062,Low
C0035,2024-02,25.92,71.01,3.07,2.4,0.0488,Low
C0035,2024-03,22.96,76.29,0.75,6.42,0.0812,Low
C0035,2024-04,11.05,88.53,0.42,6.3,0.0386,Low
C0035,2024-05,11.8,87.84,0.36,2.07,0.028,Low
C0035,2024-06,18.75,77.38,3.87,5.97,0.0266,Low
C0035,2024-07,14.63,84.5,0.87,2.59,0.0476,Low
C0035,2024-08,16.63,83.27,0.1,2.49,0.0438,Low
C0035,2024-09,34.19,64.33,1.48,6.62,0.0206,Low
C0035,2024-10,15.14,84.25,0.61,5.69,0.0639,Low
C0035,2024-11,29.37,67.41,3.22,5.18,0.0385,Low
C0035,2024-12,34.5,62.49,3.01,5.49,0.0661,Low
C0036,2024-01,54.36,35.11,10.53,7.15,0.0818,Medium
